Год,СредняяТемпература,ТемператураСтд,Тип,Страна,Месяц,Полушарие,Измерений,Темп_стд
1910,16.965205534736235,,hemisphere_yearly,,,Северное,,
1911,20.710295890410958,,hemisphere_yearly,,,Южное,,
1911,17.18703588098016,,hemisphere_yearly,,,Северное,,
1912,20.971088829071334,,hemisphere_yearly,,,Южное,,
1912,16.992394559812812,,hemisphere_yearly,,,Северное,,
1913,20.988825033647377,,hemisphere_yearly,,,Южное,,
1913,16.879300996483003,,hemisphere_yearly,,,Северное,,
1914,21.244693370165745,,hemisphere_yearly,,,Южное,,
1914,17.1288441108545,,hemisphere_yearly,,,Северное,,
1915,21.209236559139786,,hemisphere_yearly,,,Южное,,
1915,17.244661392405064,,hemisphere_yearly,,,Северное,,
1916,20.887857534246574,,hemisphere_yearly,,,Южное,,
1916,17.160984870526622,,hemisphere_yearly,,,Северное,,
1917,20.464179004037685,,hemisphere_yearly,,,Южное,,
1917,16.73026045016077,,hemisphere_yearly,,,Северное,,
1918,20.620391655450874,,hemisphere_yearly,,,Южное,,
1918,16.88189917936694,,hemisphere_yearly,,,Северное,,
1919,21.12113674033149,,hemisphere_yearly,,,Южное,,
1919,17.099950406032484,,hemisphere_yearly,,,Северное,,
1920,20.92745564516129,,hemisphere_yearly,,,Южное,,
1920,17.147028242074928,,hemisphere_yearly,,,Северное,,
1921,20.86180684931507,,hemisphere_yearly,,,Южное,,
1921,17.43127185593959,,hemisphere_yearly,,,Северное,,
1922,21.002512786002693,,hemisphere_yearly,,,Южное,,
1922,17.18569407990668,,hemisphere_yearly,,,Северное,,
1923,20.833384925975775,,hemisphere_yearly,,,Южное,,
1923,17.089701934349357,,hemisphere_yearly,,,Северное,,
1924,20.799370165745856,,hemisphere_yearly,,,Южное,,
1924,17.02756530553142,,hemisphere_yearly,,,Северное,,
1925,20.868754032258064,,hemisphere_yearly,,,Южное,,
1925,17.088899511915017,,hemisphere_yearly,,,Северное,,
1926,21.332109589041096,,hemisphere_yearly,,,Южное,,
1926,17.3238018018018,,hemisphere_yearly,,,Северное,,
1927,21.085473755047104,,hemisphere_yearly,,,Южное,,
1927,17.336425519461514,,hemisphere_yearly,,,Северное,,
1928,21.15336069986541,,hemisphere_yearly,,,Южное,,
1928,17.1583156350836,,hemisphere_yearly,,,Северное,,
1929,21.065845303867405,,hemisphere_yearly,,,Южное,,
1929,17.152875582750582,,hemisphere_yearly,,,Северное,,
1930,21.158223118279572,,hemisphere_yearly,,,Южное,,
1930,17.430698357821953,,hemisphere_yearly,,,Северное,,
1931,21.157053424657533,,hemisphere_yearly,,,Южное,,
1931,17.393316817254444,,hemisphere_yearly,,,Северное,,
1932,21.32534454912517,,hemisphere_yearly,,,Южное,,
1932,17.227635728833285,,hemisphere_yearly,,,Северное,,
1933,20.866689098250337,,hemisphere_yearly,,,Южное,,
1933,17.162904270986743,,hemisphere_yearly,,,Северное,,
1934,21.122190607734808,,hemisphere_yearly,,,Южное,,
1934,17.232895893580103,,hemisphere_yearly,,,Северное,,
1935,21.083245967741934,,hemisphere_yearly,,,Южное,,
1935,17.2428269120184,,hemisphere_yearly,,,Северное,,
1936,21.234032876712327,,hemisphere_yearly,,,Южное,,
1936,17.366888177053,,hemisphere_yearly,,,Северное,,
1937,21.150865410497982,,hemisphere_yearly,,,Южное,,
1937,17.463617226277375,,hemisphere_yearly,,,Северное,,
1938,21.12509152086137,,hemisphere_yearly,,,Южное,,
1938,17.435194607268464,,hemisphere_yearly,,,Северное,,
1939,21.236156077348067,,hemisphere_yearly,,,Южное,,
1939,17.367945391505344,,hemisphere_yearly,,,Северное,,
1940,21.34803494623656,,hemisphere_yearly,,,Южное,,
1940,17.22491089965398,,hemisphere_yearly,,,Северное,,
1941,21.509294520547947,,hemisphere_yearly,,,Южное,,
1941,17.549691926552025,,hemisphere_yearly,,,Северное,,
1942,21.20422611036339,,hemisphere_yearly,,,Южное,,
1942,17.41317774524158,,hemisphere_yearly,,,Северное,,
1943,20.96942799461642,,hemisphere_yearly,,,Южное,,
1943,17.238128325051154,,hemisphere_yearly,,,Северное,,
1944,21.38714502762431,,hemisphere_yearly,,,Южное,,
1944,17.23305666377566,,hemisphere_yearly,,,Северное,,
1945,21.176102150537634,,hemisphere_yearly,,,Южное,,
1945,17.23874632458922,,hemisphere_yearly,,,Северное,,
1946,21.37559589041096,,hemisphere_yearly,,,Южное,,
1946,17.61091458454387,,hemisphere_yearly,,,Северное,,
1947,21.188538358008078,,hemisphere_yearly,,,Южное,,
1947,17.514751387671634,,hemisphere_yearly,,,Северное,,
1948,21.17095154777927,,hemisphere_yearly,,,Южное,,
1948,17.3869754601227,,hemisphere_yearly,,,Северное,,
1949,21.163412983425413,,hemisphere_yearly,,,Южное,,
1949,17.3559797979798,,hemisphere_yearly,,,Северное,,
1950,21.100985215053765,,hemisphere_yearly,,,Южное,,
1950,17.3853341991342,,hemisphere_yearly,,,Северное,,
1951,21.175535616438356,,hemisphere_yearly,,,Южное,,
1951,17.573826200873363,,hemisphere_yearly,,,Северное,,
1952,21.306897711978465,,hemisphere_yearly,,,Южное,,
1952,17.440278669390135,,hemisphere_yearly,,,Северное,,
1953,21.314247644683714,,hemisphere_yearly,,,Южное,,
1953,17.618393066980023,,hemisphere_yearly,,,Северное,,
1954,21.245480662983425,,hemisphere_yearly,,,Южное,,
1954,17.41941390343223,,hemisphere_yearly,,,Северное,,
1955,20.881791666666665,,hemisphere_yearly,,,Южное,,
1955,17.400119170984457,,hemisphere_yearly,,,Северное,,
1956,20.89965890410959,,hemisphere_yearly,,,Южное,,
1956,17.170800233644858,,hemisphere_yearly,,,Северное,,
1957,21.285911170928667,,hemisphere_yearly,,,Южное,,
1957,17.397480455075847,,hemisphere_yearly,,,Северное,,
1958,21.47114939434724,,hemisphere_yearly,,,Южное,,
1958,17.40931638913234,,hemisphere_yearly,,,Северное,,
1959,21.513940607734806,,hemisphere_yearly,,,Южное,,
1959,17.52778317432784,,hemisphere_yearly,,,Северное,,
1960,21.255084677419354,,hemisphere_yearly,,,Южное,,
1960,17.486870801033593,,hemisphere_yearly,,,Северное,,
1961,21.55005616438356,,hemisphere_yearly,,,Южное,,
1961,17.652549724557844,,hemisphere_yearly,,,Северное,,
1962,21.095456258411843,,hemisphere_yearly,,,Южное,,
1962,17.149458393737316,,hemisphere_yearly,,,Северное,,
1963,21.279831763122477,,hemisphere_yearly,,,Южное,,
1963,17.223533060269162,,hemisphere_yearly,,,Северное,,
1964,21.060689226519337,,hemisphere_yearly,,,Южное,,
1964,17.175393527882115,,hemisphere_yearly,,,Северное,,
1965,21.312282258064517,,hemisphere_yearly,,,Южное,,
1965,17.182856690647483,,hemisphere_yearly,,,Северное,,
1966,21.448535616438356,,hemisphere_yearly,,,Южное,,
1966,17.743041048034932,,hemisphere_yearly,,,Северное,,
1967,21.325185733512786,,hemisphere_yearly,,,Южное,,
1967,17.43322290388548,,hemisphere_yearly,,,Северное,,
1968,21.000829071332436,,hemisphere_yearly,,,Южное,,
1968,17.242228512760338,,hemisphere_yearly,,,Северное,,
1969,21.59057320441989,,hemisphere_yearly,,,Южное,,
1969,17.421438846825858,,hemisphere_yearly,,,Северное,,
1970,21.41531317204301,,hemisphere_yearly,,,Южное,,
1970,17.372249784172663,,hemisphere_yearly,,,Северное,,
1971,21.125016438356166,,hemisphere_yearly,,,Южное,,
1971,17.307858761987795,,hemisphere_yearly,,,Северное,,
1972,21.47785060565276,,hemisphere_yearly,,,Южное,,
1972,17.4697812225797,,hemisphere_yearly,,,Северное,,
1973,21.456547779273215,,hemisphere_yearly,,,Южное,,
1973,17.37232554061952,,hemisphere_yearly,,,Северное,,
1974,21.127196132596687,,hemisphere_yearly,,,Южное,,
1974,17.35380608695652,,hemisphere_yearly,,,Северное,,
1975,21.12412365591398,,hemisphere_yearly,,,Южное,,
1975,17.395183357245337,,hemisphere_yearly,,,Северное,,
1976,21.08221095890411,,hemisphere_yearly,,,Южное,,
1976,17.17884308588064,,hemisphere_yearly,,,Северное,,
1977,21.658733512786004,,hemisphere_yearly,,,Южное,,
1977,17.594330417031205,,hemisphere_yearly,,,Северное,,
1978,21.31180080753701,,hemisphere_yearly,,,Южное,,
1978,17.302760633616895,,hemisphere_yearly,,,Северное,,
1979,21.406161602209945,,hemisphere_yearly,,,Южное,,
1979,17.566608972503616,,hemisphere_yearly,,,Северное,,
1980,21.521334677419354,,hemisphere_yearly,,,Южное,,
1980,17.338406726070712,,hemisphere_yearly,,,Северное,,
1981,21.397428767123287,,hemisphere_yearly,,,Южное,,
1981,17.5500307603018,,hemisphere_yearly,,,Северное,,
1982,21.531032301480487,,hemisphere_yearly,,,Южное,,
1982,17.42457292271935,,hemisphere_yearly,,,Северное,,
1983,21.687476446837145,,hemisphere_yearly,,,Южное,,
1983,17.42194023323615,,hemisphere_yearly,,,Северное,,
1984,21.51020580110497,,hemisphere_yearly,,,Южное,,
1984,17.309311123986095,,hemisphere_yearly,,,Северное,,
1985,21.464013440860217,,hemisphere_yearly,,,Южное,,
1985,17.3116354736539,,hemisphere_yearly,,,Северное,,
1986,21.651443835616437,,hemisphere_yearly,,,Южное,,
1986,17.499011925538106,,hemisphere_yearly,,,Северное,,
1987,21.84100134589502,,hemisphere_yearly,,,Южное,,
1987,17.59562197610026,,hemisphere_yearly,,,Северное,,
1988,21.48007133243607,,hemisphere_yearly,,,Южное,,
1988,17.552553769725307,,hemisphere_yearly,,,Северное,,
1989,21.401813535911604,,hemisphere_yearly,,,Южное,,
1989,17.579414985590777,,hemisphere_yearly,,,Северное,,
1990,21.651138440860215,,hemisphere_yearly,,,Южное,,
1990,17.962942914515203,,hemisphere_yearly,,,Северное,,
1991,21.690264383561644,,hemisphere_yearly,,,Южное,,
1991,17.71803076923077,,hemisphere_yearly,,,Северное,,
1992,21.62892597577389,,hemisphere_yearly,,,Южное,,
1992,17.38851955954796,,hemisphere_yearly,,,Северное,,
1993,21.716702557200538,,hemisphere_yearly,,,Южное,,
1993,17.283734521028038,,hemisphere_yearly,,,Северное,,
1994,21.80774585635359,,hemisphere_yearly,,,Южное,,
1994,17.944670717592594,,hemisphere_yearly,,,Северное,,
1995,21.856997311827957,,hemisphere_yearly,,,Южное,,
1995,17.773295871559633,,hemisphere_yearly,,,Северное,,
1996,21.617483561643837,,hemisphere_yearly,,,Южное,,
1996,17.542668700959023,,hemisphere_yearly,,,Северное,,
1997,21.915492597577387,,hemisphere_yearly,,,Южное,,
1997,17.68608219575951,,hemisphere_yearly,,,Северное,,
1998,22.03343741588156,,hemisphere_yearly,,,Южное,,
1998,18.0823216579101,,hemisphere_yearly,,,Северное,,
1999,21.69300414364641,,hemisphere_yearly,,,Южное,,
1999,18.02481875901876,,hemisphere_yearly,,,Северное,,
2000,21.589993279569892,,hemisphere_yearly,,,Южное,,
2000,17.99891240666284,,hemisphere_yearly,,,Северное,,
2001,21.95915890410959,,hemisphere_yearly,,,Южное,,
2001,18.09551640058055,,hemisphere_yearly,,,Северное,,
2002,22.139899057873485,,hemisphere_yearly,,,Южное,,
2002,18.21415979081929,,hemisphere_yearly,,,Северное,,
2003,21.953829071332436,,hemisphere_yearly,,,Южное,,
2003,17.791974366443345,,hemisphere_yearly,,,Северное,,
2004,21.800269337016577,,hemisphere_yearly,,,Южное,,
2004,17.97934363268842,,hemisphere_yearly,,,Северное,,
2005,22.067059139784945,,hemisphere_yearly,,,Южное,,
2005,18.0295500575374,,hemisphere_yearly,,,Северное,,
2006,21.970421917808217,,hemisphere_yearly,,,Южное,,
2006,18.315303664921466,,hemisphere_yearly,,,Северное,,
2007,21.872394347240917,,hemisphere_yearly,,,Южное,,
2007,18.074045086705205,,hemisphere_yearly,,,Северное,,
2008,21.6761467025572,,hemisphere_yearly,,,Южное,,
2008,17.908949810329734,,hemisphere_yearly,,,Северное,,
2009,21.984045580110497,,hemisphere_yearly,,,Южное,,
2009,18.21593198263386,,hemisphere_yearly,,,Северное,,
2010,21.993520161290324,,hemisphere_yearly,,,Южное,,
2010,18.24646914648212,,hemisphere_yearly,,,Северное,,
2011,21.78152191780822,,hemisphere_yearly,,,Южное,,
2011,18.132174760104682,,hemisphere_yearly,,,Северное,,
2012,22.027826379542393,,hemisphere_yearly,,,Южное,,
2012,18.12388290125255,,hemisphere_yearly,,,Северное,,
2013,21.535513402061856,,hemisphere_yearly,,,Южное,,
2013,18.858198717948717,,hemisphere_yearly,,,Северное,,
